Timestamp,Which age group do you belong to?,Gender,"How do you purchase electronic items such as mobile phones, laptops, watches, and TVs?",What factors influence your decision to purchase electronic items from e-commerce websites or offline stores? (Select all that apply),How satisfied are you with the pricing of electronic items on e-commerce websites compared to offline stores?,Which channel do you find more convenient for purchasing electronic items?,How would you rate the overall shopping experience when purchasing electronic items from e-commerce websites compared to offline stores?,How frequently do you purchase electronic gadgets online?,What type of electronic gadgets do you typically purchase online? (Select all that apply),How would you rate your overall satisfaction with the variety of electronic gadgets available on e-commerce website?,What factors influence your decision to purchase electronic gadgets online? (Select all that apply),How likely are you to recommend e-commerce website to others for purchasing electronic gadgets?,What improvements or additions would you like to see in the range of electronic gadgets offered on e-commerce website?,"On a scale of 1 to 10, how satisfied are you with the user experience (navigation, search functionality, checkout process, etc.) when browsing electronic gadgets on website?
 (1 being the lowest/worst score).
",How important are customer reviews and ratings in influencing your decision to purchase electronic gadgets online?,How often do you rely on comparison tools or features to compare different electronic gadgets before making a purchase decision?,Which payment method do you prefer when purchasing electronic gadgets online?,Which e-commerce website do you prefer the most for purchasing electronic gadgets?,During which occasions or festivals do you prefer to purchase electronic items from e-commerce websites or offline stores? (Select all that apply)
05/04/2024 14:57:30,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Product assortment and availability, Convenience of shopping from home, Ability to physically inspect and test the product",Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better on E-commerce Websites,Rarely,"Smartphones, Laptops",Satisfied,"Price competitiveness, Brand reputation, Product specifications and features, Easy returns and refunds",Likely,Idk,7,Very Important,Rarely,Cash on Delivery,Amazon India,Diwali
05/04/2024 14:57:35,18-24 years,Female,Equally from e-commerce websites and offline stores,"Price competitiveness, Ability to physically inspect and test the product, Trust in the brand or seller",Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better on E-commerce Websites,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Fast and reliable delivery, Easy returns and refunds, Payment options",Likely,Nothing for now.,9,Very Important,Frequently,Cash on Delivery,Flipkart,"Diwali, Christmas, New Year, Independence Day, Republic Day, Dussehra, Holi"
05/04/2024 14:57:57,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Convenience of shopping from home, Discounts and promotions",Slightly Lower on E-commerce Websites,E-commerce Websites,Slightly Better in Offline Stores,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Brand reputation, Payment options",Likely,Show clear video of the product,8,Very Important,Rarely,Cash on Delivery,Amazon India,"Diwali, New Year"
05/04/2024 14:58:30,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Ability to physically inspect and test the product",Slightly Lower on E-commerce Websites,Both Equally Convenient,About the Same,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs)",Very Satisfied,"Price competitiveness, Product reviews and ratings",Very Likely,Genuine reviews with pictures ,10,Very Important,Frequently,Credit/Debit Card,Flipkart,"Diwali, New Year"
05/04/2024 14:58:45,18-24 years,Female,Exclusively from offline stores,Ability to physically inspect and test the product,About the Same,Both Equally Convenient,Slightly Better in Offline Stores,Occasionally,"Smartphones, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs)",Satisfied,Product specifications and features,Slightly Likely,More available discounts are there ,5,Moderately Important,Occasionally,Credit/Debit Card,Amazon India,"New Year, "
05/04/2024 15:01:54,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Convenience of shopping from home, Ability to physically inspect and test the product, Immediate availability of the product, Discounts and promotions",About the Same,Both Equally Convenient,About the Same,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Very Satisfied,"Price competitiveness, Product reviews and ratings, Product specifications and features",Very Likely,True customer reviews ,10,Very Important,Occasionally,Credit/Debit Card,Flipkart,"Diwali, New Year"
05/04/2024 15:05:11,18-24 years,Female,Exclusively from e-commerce websites,"Price competitiveness, Convenience of shopping from home",Slightly Higher in Offline Stores,E-commerce Websites,About the Same,Occasionally,"Smartphones, Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Product reviews and ratings, Fast and reliable delivery, Easy returns and refunds",Likely,As of now I am satisfied.,9,Very Important,Frequently,UPI (Unified Payments Interface),Amazon India,New Year
05/04/2024 15:07:32,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores",Convenience of shopping from home,Much Lower on E-commerce Websites,E-commerce Websites,Much Better on E-commerce Websites,Occasionally,Laptops,Neutral,Product reviews and ratings,Slightly Likely,User friendly ,9,Extremely Important,Occasionally,UPI (Unified Payments Interface),Amazon India,Diwali
05/04/2024 15:19:14,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites",Price competitiveness,Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better on E-commerce Websites,Occasionally,"Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,Discounts and promotions,Slightly Likely,Quality,7,Moderately Important,Frequently,Cash on Delivery,Amazon India,New Year
05/04/2024 15:23:43,18-24 years,Female,Exclusively from offline stores,"Ability to physically inspect and test the product, Customer service and support",Slightly Lower on E-commerce Websites,Offline Stores,About the Same,Rarely,"Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Product specifications and features, Fast and reliable delivery, Easy returns and refunds",Neutral,Good service ,8,Extremely Important,Always,Cash on Delivery,Paytm Mall,Christmas
05/04/2024 15:37:03,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites",Price competitiveness,About the Same,Both Equally Convenient,About the Same,Rarely,"Wearable devices (smartwatches, fitness trackers)",Satisfied,"Price competitiveness, Product reviews and ratings",Likely,Proper reviews,9,Very Important,Frequently,Net Banking,Amazon India,"Diwali, "
05/04/2024 15:49:29,18-24 years,Male,"Mostly from offline stores, occasionally from e-commerce websites","Ability to physically inspect and test the product, Immediate availability of the product, Customer service and support",Slightly Lower on E-commerce Websites,Offline Stores,Slightly Better in Offline Stores,Rarely,"Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Price competitiveness, Discounts and promotions, Easy returns and refunds",Slightly Likely,.,5,Moderately Important,Rarely,Cash on Delivery,Flipkart,Dussehra
05/04/2024 16:15:48,18-24 years,Female,Exclusively from offline stores,"Convenience of shopping from home, Trust in the brand or seller",Slightly Lower on E-commerce Websites,Offline Stores,Much Better in Offline Stores,Rarely,"Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Gaming consoles",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Payment options",Neutral,Should maintain proper quality ,8,Very Important,Always,Cash on Delivery,Amazon India,Diwali
05/04/2024 16:17:07,18-24 years,Female,Equally from e-commerce websites and offline stores,Price competitiveness,Slightly Higher in Offline Stores,E-commerce Websites,Slightly Better on E-commerce Websites,Occasionally,"Wearable devices (smartwatches, fitness trackers)",Satisfied,"Price competitiveness, Product specifications and features, Discounts and promotions, Fast and reliable delivery",Very Likely,Quality of the product on sale can be improvised.,8,Very Important,Frequently,UPI (Unified Payments Interface),Flipkart,"Diwali, Christmas, New Year"
05/04/2024 16:20:11,18-24 years,Female,Equally from e-commerce websites and offline stores,Trust in the brand or seller,Much Lower on E-commerce Websites,E-commerce Websites,Much Better on E-commerce Websites,Frequently,"Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,Product specifications and features,Not Likely at All,Nothing ,8,Moderately Important,Always,Cash on Delivery,Flipkart,Diwali
05/04/2024 16:33:56,18-24 years,Male,Equally from e-commerce websites and offline stores,"Price competitiveness, Ability to physically inspect and test the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",Slightly Higher in Offline Stores,E-commerce Websites,About the Same,Frequently,"Smartphones, Tablets, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds, Payment options",Likely,Nil,8,Very Important,Occasionally,Cash on Delivery,Amazon India,"Christmas, New Year"
05/04/2024 16:34:01,18-24 years,Female,Exclusively from offline stores,"Price competitiveness, Product assortment and availability, Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Customer service and support",About the Same,Offline Stores,About the Same,Occasionally,"Smart home devices (smart speakers, smart bulbs), Gaming consoles",Satisfied,Brand reputation,Slightly Likely,Quality ,8,Very Important,Always,Cash on Delivery,Amazon India,New Year
05/04/2024 16:35:50,18-24 years,Female,Equally from e-commerce websites and offline stores,"Product assortment and availability, Convenience of shopping from home, Trust in the brand or seller",Slightly Higher in Offline Stores,Both Equally Convenient,Much Better in Offline Stores,Occasionally,"Smartphones, Laptops, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Product reviews and ratings, Brand reputation, Fast and reliable delivery, Easy returns and refunds",Slightly Likely,Original picture of it,7,Moderately Important,Occasionally,Credit/Debit Card,Amazon India,"Diwali, New Year"
05/04/2024 16:38:42,18-24 years,Female,Equally from e-commerce websites and offline stores,"Price competitiveness, Product assortment and availability, Convenience of shopping from home, Ability to physically inspect and test the product, Trust in the brand or seller",About the Same,E-commerce Websites,Slightly Better on E-commerce Websites,Occasionally,"Smartphones, Tablets, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,Brand reputation,Slightly Likely,Nothing ,9,Very Important,Occasionally,Cash on Delivery,Authorised web,"Diwali, New Year, Independence Day"
05/04/2024 16:43:35,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Ability to physically inspect and test the product, Immediate availability of the product",Slightly Higher in Offline Stores,Offline Stores,Slightly Better in Offline Stores,Rarely,"Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Discounts and promotions, Easy returns and refunds, Payment options",Neutral,provision of tested certification,8,Very Important,Frequently,"Mobile Wallets (e.g., Paytm, PhonePe)",Amazon India,"Diwali, New Year"
05/04/2024 16:45:42,18-24 years,Female,Exclusively from offline stores,Price competitiveness,Much Lower on E-commerce Websites,Offline Stores,About the Same,Occasionally,"Smartphones, Laptops",Neutral,Discounts and promotions,Likely,Price,4,Very Important,Occasionally,UPI (Unified Payments Interface),Amazon India,"Diwali, Republic Day"
05/04/2024 16:46:04,18-24 years,Female,Equally from e-commerce websites and offline stores,Trust in the brand or seller,Slightly Higher in Offline Stores,Both Equally Convenient,Slightly Better on E-commerce Websites,Occasionally,Smartphones,Satisfied,"Brand reputation, Product specifications and features",Slightly Likely,Good quality ones,5,Very Important,Occasionally,UPI (Unified Payments Interface),Amazon India,"Diwali, New Year, Dussehra"
05/04/2024 16:47:16,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Immediate availability of the product, Discounts and promotions",About the Same,E-commerce Websites,Slightly Better on E-commerce Websites,Rarely,"Smartphones, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Product reviews and ratings, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Likely,Quick refund ,9,Very Important,Rarely,UPI (Unified Payments Interface),Flipkart,"Diwali, Dussehra"
05/04/2024 16:50:44,18-24 years,Female,Exclusively from offline stores,"Price competitiveness, Trust in the brand or seller, Customer service and support, Discounts and promotions",Slightly Higher in Offline Stores,Offline Stores,Much Better in Offline Stores,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Slightly Likely,Product quality can be shown even better,6,Moderately Important,Always,Net Banking,Amazon India,"Diwali, New Year, Dussehra"
05/04/2024 16:53:37,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Product assortment and availability, Immediate availability of the product, Trust in the brand or seller, Customer service and support",Much Higher in Offline Stores,Offline Stores,Slightly Better in Offline Stores,Rarely,"Smartphones, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Price competitiveness, Product reviews and ratings, Brand reputation, Easy returns and refunds",Slightly Likely,--,7,Moderately Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, New Year, Dussehra"
05/04/2024 17:15:34,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Trust in the brand or seller",Much Higher in Offline Stores,Offline Stores,Much Better in Offline Stores,Rarely,Smartphones,Satisfied,"Brand reputation, Product specifications and features, Discounts and promotions",Neutral,Quality ,8,Very Important,Occasionally,Credit/Debit Card,Amazon India,"Christmas, New Year"
05/04/2024 17:16:54,18-24 years,Male,"Mostly from offline stores, occasionally from e-commerce websites","Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Customer service and support",Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better on E-commerce Websites,Occasionally,"Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs), Gaming consoles",Satisfied,"Price competitiveness, Product reviews and ratings, Discounts and promotions, Payment options",Likely,Nothing much,8,Very Important,Frequently,Net Banking,Amazon India,"Diwali, Republic Day, Dussehra"
05/04/2024 17:22:09,18-24 years,Female,Exclusively from offline stores,"Price competitiveness, Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",Slightly Higher in Offline Stores,Offline Stores,Much Better in Offline Stores,Rarely,"Wearable devices (smartwatches, fitness trackers)",Neutral,"Product reviews and ratings, Easy returns and refunds",Slightly Likely,Collections,7,Moderately Important,Occasionally,Credit/Debit Card,Amazon India,New Year
05/04/2024 17:23:31,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites",Ability to physically inspect and test the product,Slightly Lower on E-commerce Websites,Offline Stores,Slightly Better in Offline Stores,Rarely,"Wearable devices (smartwatches, fitness trackers)",Neutral,Product reviews and ratings,Slightly Likely,Nothing ,5,Not Important,Rarely,Cash on Delivery,Amazon India,Diwali
05/04/2024 17:25:41,18-24 years,Female,Equally from e-commerce websites and offline stores,"Ability to physically inspect and test the product, Trust in the brand or seller",About the Same,Offline Stores,Slightly Better in Offline Stores,Rarely,"Smartphones, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Brand reputation, Product specifications and features, Discounts and promotions, Easy returns and refunds",Neutral,No,8,Very Important,Occasionally,UPI (Unified Payments Interface),Amazon India,"Diwali, Christmas, New Year, Dussehra, Holi"
05/04/2024 17:31:26,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Product assortment and availability, Ability to physically inspect and test the product, Discounts and promotions",Slightly Higher in Offline Stores,Both Equally Convenient,Slightly Better in Offline Stores,Occasionally,"Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions",Likely,To have a brief explanation and practical evidence of the product ,8,Very Important,Frequently,Credit/Debit Card,Amazon India,"Diwali, Christmas, Dussehra"
05/04/2024 17:39:15,18-24 years,Male,Equally from e-commerce websites and offline stores,"Price competitiveness, Product assortment and availability, Convenience of shopping from home",Much Lower on E-commerce Websites,Both Equally Convenient,Much Better on E-commerce Websites,Occasionally,"Smartphones, Laptops, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions",Likely,Nothing ,10,Very Important,Frequently,Cash on Delivery,Amazon India,"Diwali, Christmas, New Year"
05/04/2024 17:47:09,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Ability to physically inspect and test the product, Trust in the brand or seller, Customer service and support",Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better in Offline Stores,Rarely,"Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Likely,Nothing,8,Very Important,Always,Net Banking,Amazon India,"Diwali, Christmas, New Year, Republic Day, Dussehra"
05/04/2024 17:49:42,18-24 years,Female,Exclusively from e-commerce websites,Price competitiveness,Much Lower on E-commerce Websites,E-commerce Websites,Much Better on E-commerce Websites,Never,Smartphones,Very Dissatisfied,Price competitiveness,Not Likely at All,No,9,Not Important,Never,Credit/Debit Card,Amazon India,Dussehra
05/04/2024 17:54:50,18-24 years,Male,"Mostly from offline stores, occasionally from e-commerce websites",Price competitiveness,Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better on E-commerce Websites,Occasionally,"Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Neutral,Price competitiveness,Likely,More offers ,9,Very Important,Always,Cash on Delivery,Amazon India,Diwali
05/04/2024 17:57:50,18-24 years,Male,Exclusively from offline stores,Price competitiveness,Much Lower on E-commerce Websites,Offline Stores,Much Better in Offline Stores,Never,Nothing,Dissatisfied,Payment options,Not Likely at All,Improvements Refund option ,6,Very Important,Frequently,Cash on Delivery,Amazon India,Diwali
05/04/2024 17:59:36,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites",Trust in the brand or seller,Slightly Lower on E-commerce Websites,Both Equally Convenient,About the Same,Occasionally,"Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Brand reputation, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Slightly Likely,-,8,Very Important,Occasionally,Cash on Delivery,Amazon India,"Diwali, Dussehra"
05/04/2024 18:13:00,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Ability to physically inspect and test the product, Immediate availability of the product",Slightly Higher in Offline Stores,Both Equally Convenient,About the Same,Occasionally,"Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs)",Satisfied,"Price competitiveness, Product reviews and ratings, Discounts and promotions, Easy returns and refunds, Payment options",Slightly Likely,The gadgets are actually not bad and trustworthy in most of the cases but still there are some demerits in e -commerce websites like product quality( in some cases). Rectifying those things might be helpful.,7,Somewhat Important,Frequently,Credit/Debit Card,Amazon India,Diwali
05/04/2024 18:17:22,18-24 years,Male,"Mostly from e-commerce websites, occasionally from offline stores",Convenience of shopping from home,Slightly Lower on E-commerce Websites,E-commerce Websites,About the Same,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Product reviews and ratings, Discounts and promotions",Likely,"
Improvements in health wearables",8,Extremely Important,Always,Credit/Debit Card,Flipkart,Diwali
05/04/2024 18:23:51,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Convenience of shopping from home, Discounts and promotions",Slightly Lower on E-commerce Websites,Offline Stores,Slightly Better on E-commerce Websites,Occasionally,"Smartphones, Audio/Visual equipment (headphones, speakers, TVs)",Neutral,Discounts and promotions,Neutral,More discounts with easy exchange offers,6,Moderately Important,Occasionally,Net Banking,Amazon India,Diwali
05/04/2024 19:02:51,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Product assortment and availability, Convenience of shopping from home, Immediate availability of the product, Trust in the brand or seller, Discounts and promotions",Slightly Lower on E-commerce Websites,E-commerce Websites,Much Better on E-commerce Websites,Frequently,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Fast and reliable delivery, Easy returns and refunds",Likely,All prices should displayed for easy comparison among the available products,8,Moderately Important,Occasionally,Net Banking,Amazon India,Diwali
05/04/2024 19:14:05,18-24 years,Male,Equally from e-commerce websites and offline stores,"Price competitiveness, Product assortment and availability",About the Same,Both Equally Convenient,About the Same,Rarely,"Smartphones, Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features",Neutral,-,8,Moderately Important,Rarely,Credit/Debit Card,Amazon India,Diwali
05/04/2024 21:10:47,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores",Product assortment and availability,Slightly Lower on E-commerce Websites,E-commerce Websites,Slightly Better on E-commerce Websites,Occasionally,"Audio/Visual equipment (headphones, speakers, TVs)",Very Satisfied,"Brand reputation, Product specifications and features",Likely,Nothing,9,Very Important,Frequently,Credit/Debit Card,Flipkart,Dussehra
05/04/2024 21:18:06,18-24 years,Male,"Mostly from e-commerce websites, occasionally from offline stores",Price competitiveness,Slightly Lower on E-commerce Websites,E-commerce Websites,About the Same,Frequently,"Smartphones, Laptops, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Very Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Easy returns and refunds, Payment options",Very Likely,Na,10,Very Important,Always,UPI (Unified Payments Interface),Amazon India,"Diwali, New Year, Independence Day, Republic Day"
05/04/2024 21:53:53,55+ years,Male,Equally from e-commerce websites and offline stores,"Price competitiveness, Product assortment and availability, Immediate availability of the product, Trust in the brand or seller",Much Lower on E-commerce Websites,Both Equally Convenient,Slightly Better on E-commerce Websites,Frequently,"Smartphones, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Brand reputation, Discounts and promotions",Likely,Nothing extra,8,Very Important,Occasionally,Credit/Debit Card,Amazon India,"Diwali, Independence Day, Dussehra"
05/04/2024 22:06:34,18-24 years,Female,Exclusively from offline stores,"Ability to physically inspect and test the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",Slightly Lower on E-commerce Websites,Both Equally Convenient,Much Better in Offline Stores,Occasionally,"Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds",Slightly Likely,"genuine products
",7,Extremely Important,Always,Cash on Delivery,Amazon India,"Diwali, Christmas, New Year, Independence Day, Republic Day, Dussehra, Holi"
06/04/2024 06:08:28,18-24 years,Female,Equally from e-commerce websites and offline stores,"Product assortment and availability, Convenience of shopping from home, Trust in the brand or seller, Customer service and support, Discounts and promotions",About the Same,Both Equally Convenient,Slightly Better on E-commerce Websites,Occasionally,"Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Neutral,"Product reviews and ratings, Brand reputation, Product specifications and features, Fast and reliable delivery, Easy returns and refunds",Neutral,Nil,6,Somewhat Important,Occasionally,Net Banking,Amazon India,Needed time
06/04/2024 08:08:40,18-24 years,Female,Exclusively from e-commerce websites,Convenience of shopping from home,About the Same,E-commerce Websites,Slightly Better on E-commerce Websites,Occasionally,"Smartphones, Laptops, Wearable devices (smartwatches, fitness trackers), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds, Payment options",Likely,Nothing more,7,Moderately Important,Occasionally,Cash on Delivery,Amazon India,"Diwali, New Year, Dussehra"
06/04/2024 15:23:04,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores",Price competitiveness,Slightly Lower on E-commerce Websites,Offline Stores,About the Same,Occasionally,Tablets,Dissatisfied,Fast and reliable delivery,Slightly Likely,.,4,Moderately Important,Occasionally,Net Banking,Flipkart,Eid
06/04/2024 17:00:35,35-44 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Ability to physically inspect and test the product, Discounts and promotions",About the Same,Offline Stores,Slightly Better in Offline Stores,Occasionally,"Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs), Audio/Visual equipment (headphones, speakers, TVs)",Satisfied,"Brand reputation, Discounts and promotions",Slightly Likely,"Condition of products, warranty guarantee",6,Very Important,Frequently,Cash on Delivery,Amazon India,"Diwali, Dussehra"
06/04/2024 18:49:17,18-24 years,Male,Equally from e-commerce websites and offline stores,"Price competitiveness, Ability to physically inspect and test the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",About the Same,Both Equally Convenient,About the Same,Occasionally,"Smartphones, Laptops, Tablets, Wearable devices (smartwatches, fitness trackers)",Very Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Product specifications and features, Discounts and promotions, Fast and reliable delivery, Easy returns and refunds, Payment options",Likely,Reviews must be more honest and not paid,9,Very Important,Occasionally,UPI (Unified Payments Interface),Amazon India,"Diwali, Independence Day, Republic Day, Dussehra"
06/04/2024 18:49:32,18-24 years,Female,"Mostly from e-commerce websites, occasionally from offline stores","Price competitiveness, Product assortment and availability, Convenience of shopping from home",Much Lower on E-commerce Websites,E-commerce Websites,Much Better on E-commerce Websites,Always,"Smartphones, Laptops, Tablets",Very Satisfied,"Price competitiveness, Product reviews and ratings, Brand reputation, Easy returns and refunds",Very Likely,maybe better warranty guarantee,10,Extremely Important,Frequently,UPI (Unified Payments Interface),Amazon India,"Diwali, Independence Day, Republic Day"
06/04/2024 18:50:56,18-24 years,Female,Equally from e-commerce websites and offline stores,"Price competitiveness, Product assortment and availability, Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",Slightly Lower on E-commerce Websites,Both Equally Convenient,About the Same,Occasionally,Smartphones,Satisfied,"Product reviews and ratings, Brand reputation",Likely,Some feature comparing option for two gadgets.,9,Moderately Important,Occasionally,Net Banking,Amazon India,Diwali
06/04/2024 18:52:46,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Ability to physically inspect and test the product, Immediate availability of the product, Trust in the brand or seller, Customer service and support, Discounts and promotions",About the Same,Both Equally Convenient,About the Same,Occasionally,"Audio/Visual equipment (headphones, speakers, TVs)",Very Satisfied,"Product reviews and ratings, Fast and reliable delivery, Easy returns and refunds",Neutral,-,8,Extremely Important,Occasionally,Cash on Delivery,Amazon India,Republic Day
06/04/2024 18:53:18,18-24 years,Female,"Mostly from offline stores, occasionally from e-commerce websites","Price competitiveness, Convenience of shopping from home, Trust in the brand or seller, Discounts and promotions",About the Same,E-commerce Websites,Much Better on E-commerce Websites,Rarely,"Smartphones, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs)",Satisfied,"Price competitiveness, Product reviews and ratings, Discounts and promotions, Easy returns and refunds",Likely,Some of the websites sending fake items. They have to improve it,8,Moderately Important,Rarely,Cash on Delivery,Amazon India,"New Year, Holi"
06/04/2024 18:53:25,18-24 years,Male,Equally from e-commerce websites and offline stores,"Price competitiveness, Convenience of shopping from home, Trust in the brand or seller, Discounts and promotions",Slightly Lower on E-commerce Websites,Both Equally Convenient,Slightly Better on E-commerce Websites,Occasionally,"Smartphones, Wearable devices (smartwatches, fitness trackers), Smart home devices (smart speakers, smart bulbs)",Neutral,Price competitiveness,Neutral,Combo offers more like laptop with mouse for cheaper price ,6,Moderately Important,Frequently,Credit/Debit Card,Amazon India,"Diwali, New Year, Dussehra"
